"# 文本key","文本value"
"Tips_92","Mark <TipKey>「{0}」</> Location"
"Tips_93","You and <TipKey> 「{0}」 </> became 「{1}」"
"Tips_94","Commission not edited！"
"Tips_95","No {0}. Unable to Plant."
"Tips_96","You gained Reputation：{0}"
"Tips_97","Gotta hustle up some cash for the road ahead."
"Tips_98_3","No Weapon Equipped"
"Tips_98_4","No Concealed Weapon Equipped"
"Tips_99","Craft conditions not met！"
"Tips_100","{0} doesn’t want to accept your invitation！"
"Tips_101","{0} stopped following you！"
"Tips_102","Smoke unfurls from the chest. You realize it is a trap！"
"Tips_103","This Skill is not Grandmaster level， it cannot be taught！"
"Tips_104","Unlock conditions not met for this Land Plot. You cannot select it."
"Tips_105","Not enough Kungfu Insight！"
"Tips_106","{0} Bug flew away"
"Tips_107","You've already tamed a horse！"
"Tips_108","<TipKey>「{0}」</> is deprived of the Skill <TipKey>「{1}」</>！"
"Tips_109","You were distracted looking for an out， and your opponent pounced. <TipKey>{0}</> Normal Moves disappeared！"
"Tips_110","Give your Sect a name"
"Tips_111","Sect Name cannot contain special characters or spaces."
"Tips_112","<TipKey>「{0}」</> is already in your sect！"
"Tips_113","No selectable Land Plot！"
"Tips_114","No selectable building！"
"Tips_115","Unlock conditions not met！"
"Tips_116","<TipKey>「{0}」</> joined {1}！"
"Tips_117","<TipKey>「{0}」</> has passed away！"
"Tips_118","The Sect no longer exists！"
"Tips_119","You’re no longer the Master！"
"Tips_120","Kungfu Insight +{0}"
"Tips_121","Your Vigor is low. Restore by sleeping or eating."
"Tips_122","Under development. Stay tuned！"
"Tips_123","You don’t have enough {0} to submit"
"Tips_124","Pet Name cannot be blank."
"Tips_125","Pet Name cannot contain special characters or spaces."
"Tips_126","You refused 「{0}」’s join request！"
"Tips_127","You already have 「{0}」 Commissions. Please complete them first."
"Tips_128","They don't even have a dime. You can't demand items."
"Tips_129","You destroyed 「{0}」’s Kungfu 「{1}」！"
"Tips_131","This item cannot be marked. Please find it yourself."
"Tips_132","No gatherable Resource nearby！"
"Tips_133","The input contains censored words！"
"Tips_134","You cannot equip or alter Skills in battle."
"Tips_135","Target outside Skill range."
"Tips_136","The Commission already exists. Cannot issue again."
"Tips_137","You can only claim one book at a time."
"Tips_138","Not yet time to claim."
"Tips_139","Looks like {0} no longer wants to take you to fun activities."
"Tips_140","Not enough Prestige. Come another day！"
"Tips_141","Obtained {1} x{0}！"
"Tips_142","Requires {0}： {1} to train."
"Tips_143","Not in the same Sect！"
"Tips_144","Positive Attitude not met！ Requires Positive Attitude： <TipKeyRed>{0}</>"
"Tips_145","Cannot learn. Requires Positive Attitude： <TipKeyRed>{0}</>"
"Tips_146","This Gear cannot be dismantled."
"Tips_147","Cannot be placed here. Try another location."
"Tips_148","<TipKey>「{0}」</> has passed away！"
"Tips_149","You don't have Broken Bowl. Cannot beg."
"Tips_150","You don't have a tamed eagle. Cannot use Hawk Eye."
"Tips_151","You don't have a Sect. Cannot invite others to join."
"Tips_152","They don't an Ailment and don't need a cure."
"Tips_153","All seats are taken. Come another day！"
"Tips_154","Their Attitude toward you is too Negative. They want nothing to do with you."
"Tips_155","{0} doesn't have enough coins and cannot make up the difference."
"Tips_156","Cannot Meditate when swimming！"
"Tips_157","You don't have Flint. Cannot ignite！"
"Tips_158","There are crops growing. Cannot recycle！"
"Tips_159","Insufficient Energy. Cannot use Concealed Weapon."
"Tips_160",""
"Tips_161","The auction has ended！"
"Tips_162","You haven't tamed an eagle. Cannot set mark！"
"Tips_163","Cannot build！"
"Tips_164","Cannot practice. Requires Prestige： <TipKeyRed>{0}</>"
"Tips_166","Show mercy. The rematch awaits！"
"Tips_167","Your pet gobbled down its fave treat and got stronger. DMG up."
"Tips_168","No authority. Cannot take post."
"Tips_169","Less than {0} coins. Cannot create Sect."
"Tips_170","Less than {0} coins. Cannot expand Influence."
"Tips_171","There's already a Party Flag on this lot. Cannot create Sect."
"Tips_172","There's already a Party Flag on this lot. Cannot expand Influence."
"Tips_173","Cannot tame special species."
"Tips_174","Cannot tame same pet."
"Tips_175","Requires higher Tame."
"Tips_176","You cannot place a lot here ！"
"Tips_177","Not Sneaking. Press ([1=31])"
"Tips_178","<TipKey>「{0}」</> devoured 100 of its fave treats and is totally stuffed. Better feed it again tomorrow."
"Tips_179","Cannot equip unacquired Skills"
"Tips_180","<TipKey>{0}</> is spreading in Meridians！"
"Tips_181","<TipKey>{0}</> has acquired <TipKey>{1}</>"
"Tips_182","Such egregious betrayal is not condoned. Cannot end a Bloodline relationship！"
"Tips_183","Cannot tame target that hasn't fainted"
"Tips_184","Cannot tame dead target"
"Tips_185","<TipKey>{0}</> nearby decided to help <TipKey>{1}</> and joined the battle"
"Tips_186","Geomancy Lv. too low — stealing valuables beyond your Ability will get you caught！"
"Tips_187","Pigeon Post dispatched to collect intel on life history. Sit tight as the reply is headed your way."
"Tips_188","Gathering intel on life history."
"Tips_189","Merit {0}"
"Tips_190","Please return for worship on {0}{1}"
"Tips_191","Requires activated Inner Kungfu： <TipKey>{0}</>"
"Tips_192","<TipKey>{0}：{1}</>"
"Tips_193","Not enough fertilizer."
"Tips_194","Compiling..."
"Tips_195","Cannot summon when corralled."
"Tips_196","Available after unlocking {0} regions  「Regions Unlocked： {1}」"
"Tips_197","Animal Pen full"
"Tips_198","No water."
"Tips_199","Already watered today."
"Tips_200","Lots can only be placed within {0} x {0} in the current version."
"Tips_201","Passage sealed. Use another route."
"Tips_202","Access denied"
"Tips_203","Cultivator imprisoned in this realm. Reset denied."
"Tips_204","Cannot use Smoke Grenade"
"Tips_205","Sect name taken. Pick another name."
"Tips_206","You must meet at least one material requirement to tame the pet."
"Tips_207","Save failed"
"Tips_208","You don't have your own Animal Pen..."
"Tips_209","Snakes， martens， and eagles forbidden..."
"Tips_210","Animal Pen full. Cannot corral."
"Tips_211","This item cannot be placed in the hotbar！"
"Tips_212","Horses holding carriages cannot be kept in captivity."
"Tips_213","You have become the new sect Chief of {0}！"
"Tips_214","Because the news that you killed {0} was spread， your reputation in {1} was {2} lost to {3}！"
"Tips_215","Distribute monthly bills to sect members， totaling {0} coins！"
"Tips_216","You are currently unable to participate， please participate when you are ready！"
"Tips_217","There are not enough people to start the Kungfu Contest！"
"Tips_218","Cannot summon in the Kungfu Contest"
"Tips_219","Not enough money， eat something else"
"Tips_220","Out of order range."
"Tips_221","You haven't chosen a member to execute the order."
"Tips_222","You cannot interact with this target in Order mode."
"Tips_223","You cannot issue orders when you're incapacitated."
"Tips_224","Please place all Facilities."
"Tips_225","Their Affinity toward you is less than {0}. Cannot team up."
"Tips_226","Not enough points."
"Tips_227","Adding more points would exceed the limit！"
"Tips_228","Fortune favors the devoted mind. <TipKey>「Seeking a child」</> successful！"
"Tips_229","They don't have any more Commissions. Come back later！"
"Tips_230","You haven't teamed up. You can't share a bed and dreams."
"Tips_231","There’s someone in bed. You can’t share a bed and dreams."
"Tips_232","Please mount the horse."
"Tips_233","Must be refitted into Carriage."
"Tips_234","{0} has left the team."
"Tips_235","Exceeded max participants for duel！"
"Tips_236","You're no longer the Master of {0} Sect and can't dispatch disciples to the duel."
"Tips_237","The participating sect has disbanded. Cannot join duel."
"Tips_238","Not enough resources in the Warehouse. Cannot expand territory. Current expansion requires： {0}"
"Tips_239","Only the Master can perform this action."
"Tips_240","Target hasn't learned Leechcraft."
"Tips_241","Pet corralled. Cannot perform action. "
"Tips_242","You already have a sect and cannot create a new one."
"Tips_244","Their Spirits are too low. Cannot teach them."
"Tips_245","The current school already exists. Please choose another name."
"Tips_246","This lot doesn't belong to the sect offering the tribute. Select another lot."
"Tips_247","Compelled by your sect's formidable power， {0} contributed myriad resources to your warehouse. Influence Relations -30."
"Tips_248","You've started training a Kungfu school (view in Manage Disciples)."
"Tips_249","There are no disciples in the sect. Cannot expand lot."
"Tips_250","You haven't selected disciples to expand the lot."
"Tips_251","Argument <TipKey>「{0}」</> unlocked"
"Tips_252","Trade resources delivered to Warehouse"
"Tips_253","Please join a sect first and ask the instructor for advice on kungfu."
"Tips_254","You're not practicing a Kungfu School. Please ask the instructor for advice on it."
"Tips_255","You're currently the leader of the sect and have mastered all of its kungfu. You can join other sects to learn their kungfu."
"Tips_256","Already learned the kungfu of the sect."
"Tips_257","Your spirits are too low to start a Verbal Duel."
"Tips_258","Your Eight-faced Black Sparrow identity has been promoted to {0}"
"Tips_259","There is only one Fujin. If you kill them， you can take their place！"
"Tips_260","The target has died and cannot be changed"
"Tips_261","{0} has died， the disguise has expired"
"Tips_262","Your disguise has been detected and has expired."
"Tips_263","Be imprisoned， unable to use this function"
"Tips_264","Insufficient medical skills， you can't treat your <TIPKEY> {0} </>"
"Tips_265","Their Leechcraft ability is not maximum level， they cannot attach the Treasured Object."
"Tips_266","Cannot attach Treasured Object， you need a Treasured Object in your backpack."
"Tips_267","Your Imperial Guard identity has been promoted to {0}"
"Tips_268","Your Dynasty prestige doesn't meet the requirements， you cannot promote."
"Tips_269","Insufficient official silver， you cannot promote."
"Tips_270","Your sin value is {0} {1}"
"Tips_271","It seems to take effect between 10pm and 4am"
"Tips_272","The height is not enough， it doesn't seem to have much effect. You can try going to a higher place."
"Tips_273","You accept the assassination order， you need to kill {0} within 10 days."
"Tips_274","Blood Sha Dan used successfully： {0}"
"Tips_275","An assassination order has been issued for {0}"
"Tips_276","Successfully sent Death Notice to {0}"
"Tips_277","Insufficient Blood Money， not promoting"
"Tips_278","Redemption successful. please check your backpack."
"Tips_279","This building requires repairs before you can retrofit it."
"Tips_296","Use the appropriate insight to breakthrough your limits！"
"Tips_297","Your current ability hasn't reached this level！"
"Tips_298","You've already inquired about this ability today."
"Tips_299","You need a Sword Case to perform this action."
"Tips_300","Only claimable in Great Wilds or Miniworld."
"Tips_301","This faction's territory cannot be expanded."
"Tips_302","Please confirm if there is an empty slot to equip the Mnemonic， or unequip one first."
"Tips_303","Reached bottleneck. Unable to improve via Kungfu Insight."
"Tips_304","Craft conditions not met."
"Tips_305","All Ice Jades obtained."
"tips_316","Invalid position. Please try again."
"tips_317","Sneak is on cooldown..."
"tips_318","You've been noticed. Wait a while before attempting Sneak again."
"tips_319","Geomancy level too low. You cannot steal from this facility."
"tips_320","You can only place one type of Toxin Worms in the Worm Cultivating Box."
"tips_321","Insufficient Energy. Cannot use item."
"tips_322","No Toxin Worms in the shortcut bar."
"tips_323","They already have this Toxin."
"tips_324","You don't have a Moon Block."
"tips_325","You've already divined your fortune today."
"Tips_326","Max level reached."
"Tips_327","Not enough Kungfu Insight！"
"Tips_328","Non-Star Shifting Sect members can only enhance up to level 3."
"Tips_329","Insufficient Forging Insights！"
"Tips_330","Refinement Success"
"Tips_331","Refinement Failed"
"Tips_332","This land has already been fertilized."
"Tips_333","Special gear cannot have its stats salvaged！"
"Tips_1000","Commission accepted！"
"Tips_1001","Commission completed！"
"Tips_1002","Commission incomplete！"
"Tips_1003","Commission incomplete！ {0} 「{1}」 built."
"Tips_2000","You failed to acquire 「{0}」"
"Tips_2001","Challenged failed. Sword Case not upgraded."
"Tips_2002","Challenge completed. Sword Case upgraded."
"Tips_3000","<TipKey>「{0}」</> doesn’t want to teach 「better Relation required」"
"Tips_3001","<TipKey>「{0}」</> doesn’t want to teach 「better Attitude required」"
"# 装饰物名称",""
"Decoration_Tree_Song","「Pine」"
"Decoration_Tree_Mei","「Plum Tree」"
"Decoration_Tree_Zhu","「Bamboo」"
"Decoration_Tree_Tao","「Peach Tree」"
"Decoration_Tree_Feng","「Maple」"
"Decoration_Tree_Hu","「Aspen」"
"Decoration_StoneMine","「Poor Mine」"
"Decoration_IronMine","「Rich Mine」"
"Decoration_CopperMine","「Rare Mine」"
"Decoration_SilverMine","「Ice Mine」"
"Decoration_GanCao","「Licorice」"
"Decoration_SanQi","「San Qi」"
"Decoration_LanlingCao","「May-lily」"
"Decoration_XueXianCao","「Snowfairy Lily」"
"Decoration_DuanChangCao","「Heartbreak Grass」"
"Decoration_ZuiXianCao","「Drunken Grass」"
"Decoration_YeShengZhuMa","「Wild Ramie」"
"Decoration_Other_1","「Spring」"
"Decoration_Other_2","「Furnace」"
"Decoration_Other_3","「Lamp」"
"Decoration_Other_4","「Censer」"
"Decoration_Other_5","「Bamboo Mat」"
"Decoration_Other_6","「Cage」"
"Decoration_Other_7","「Bonfire」"
"Decoration_Other_8","「Wooden Pole」"
"Decoration_Other_9","「Crucible」"
"Decoration_Other_10","「Weapon Shelf」"
"Decoration_Other_11","「Wine Shelf」"
"Decoration_Other_12","「Bar for 4」"
"Decoration_Other_13","「Bar for 2」"
"Decoration_Other_14","「Zheng」"
"Decoration_Other_15","「Wooden Bed」"
"Decoration_150022","「Guard Camp Wooden Ned」"
"Decoration_Other_16","「Well」"
"Decoration_Other_17","「Potion Shelf」"
"Decoration_Other_18","「Sickbed」"
"Decoration_Other_19","「Counter」"
"Decoration_Other_20","「Grocery Cabinet」"
"Decoration_Other_21","「Hanger」"
"Decoration_Other_22","「Wood Crate」"
"Decoration_Other_23","「Throne」"
"Decoration_150030","「Savings」"
"Decoration_150032","「Guard chair」"
"Decoration_150033","「Guard Camp Light」"
"Decoration_150036","「Guard Battalion High Platform」"
"Decoration_Other_24","「City Guardian」"
"Decoration_Other_25","「Loom」"
"Decoration_Other_26","「Stable」"
"Decoration_Other_27","「Farmland」"
"Decoration_Other_28","「Quarry」"
"Decoration_Other_29","「Shack」"
"Decoration_Other_30","「Bulletin Board」"
"Decoration_Other_31","「Bookcase」"
"Decoration_Other_32","「Archer Tower」"
"Decoration_Other_33","「Foundation」"
"Decoration_Other_34","「Foundation」"
"Decoration_Other_35","「Foundation」"
"Decoration_Other_36","「Mechanism Shelf」"
"Decoration_Other_37","「Gate」"
"Decoration_Other_37_1","「Locked Door」"
"Decoration_Other_42","「Enlightenment Stone」"
"Decoration_Other_48","「Hidden Casket」"
"Decoration_Other_52","「Stone Bridge」"
"Decoration_Other_53","「Battle Flag」"
"Decoration_Other_55","「Temporary Cargo Ship」"
"Decoration_Other_56","「Chest」"
"Decoration_Other_57","「Tomb」"
"Decoration_Other_58","「Woodland」"
"Decoration_Other_100","「Architect's Hut Signage」"
"Decoration_Other_101","「Stable Signage」"
"Decoration_Other_102","「Fabric Shop Signage」"
"Decoration_Other_103","「Tavern Signage」"
"Decoration_Other_104","「Music House Signage」"
"Decoration_Other_105","「Springhouse Signage」"
"Decoration_Other_106","「Clinic Signage」"
"Decoration_Other_107","「Smithy Signage」"
"Decoration_Other_108","「Party Flag」"
"Decoration_Other_150041","「Lost Belonging」"
"Decoration_Other_150044","「Dragon Worm」"
"Decoration_Other_150047","「Treasure」"
"Decoration_On_Lock","「Locked」"
"Decoration_Un_Lock","「Unlocked」"
"Decoration_Jingji","「Brambles」"
"Decoration_Other_151010","「Carriage」"
"Decoration_150090","「Black list」"
"Decoration_150091","「Blood List Stele」"
"Decoration_150091_sp","「A Huge Rock」"
"Decoration_150092","「Mystery Stele」"
"Decoration_150093","「Mysterious Box」"
"Decoration_150094","「Eight-faced Black Sparrow box」"
"Decoration_151021","「Courtyard Wall」"
"Decoration_151022","「Courtyard Corner」"
"Decoration_151023","「Courtyard Gate」"
"Decoration_151024","「Farmland」"
"Decoration_151025","「Fence」"
"Decoration_151026","「Spiked fence」"
"Decoration_151027","「Steps」"
"Decoration_151028","「Animal Pen」"
"Decoration_151029","「Pillar」"
"Decoration_151030","「Mountain Gate 1」"
"Decoration_151031","「Mountain Gate 2」"
"Decoration_151032","「Mountain Gate 3」"
"Decoration_151033","「Mountain Gate 4」"
"Decoration_151034","「Stone Steps」"
"Decoration_151035","「City Wall Corner」"
"Decoration_151036","「City Wall」"
"Decoration_151037","「Stone Courtyard Corner」"
"Decoration_151038","「Stone Courtyard Wall」"
"Decoration_151039","「Stone Courtyard Turret」"
"Decoration_151040","「Foundation Flagstone」"
"Decoration_151041","「Foundation Flagstone Edge」"
"Decoration_151042","「Foundation Flagstone Corner」"
"Decoration_151043","「Foundation Steps」"
"Decoration_151044","「Screen」"
"Decoration_151047","「Firecrackers」"
"Decoration_151048","「Big Screen」"
"Decoration_151049","「Worm Cultivating Box」"
"Decoration_151050","「Jade Sword Case」"
"Decoration_151051","「Copper Pole」"
"Decoration_151052","「Iron Pole」"
"Decoration_151053","「Humanoid Pole」"
"Decoration_150084","「Fish Shoal」"
"Decoration_160012","「Torture」"
"Decoration_160013","「Guillotine」"
"Decoration_170001","Conveyor · Straight"
"Decoration_170002","Conveyor · Left"
"Decoration_170003","Conveyor · Right"
"Decoration_170010","Add raw material"
"Decoration_170011","Gather product"
"Decoration_170012","Synthesizer"
"Decoration_170013","Resolver"
"Decoration_170014","Equalizer"
"Decoration_170015","Processor"
"Decoration_Output","Yield： {0}"
"# 装备相关",""
"Equip_None_Head","No Hats"
"Equip_None_Body","No Clothes"
"Equip_None_Weapon","No Weapons"
"Equip_None_Hidden_Weapon","No Concealed Weapons"
"Equip_None_Pants","No Pants"
"Equip_Detail","Gear Details"
"Equip_All_Head","All\\nHats"
"Equip_All_Body","All\\nClothes"
"Equip_All_Arm","All\\nPants"
"Equip_All_Hand","All\\nWeapons"
"Equip_All_Weapon","All\\nConcealed Weapons"
"Equip_All_Hidden_Weapon","All\\n？ ？"
"Equip_All_Leg","All\\n？ ？"
"Equip_All_Foot","All\\n？ ？"
"Equip_All","All\\nGear"
"Equip_Info","Character Gear"
"Equip_Cur_Equip","Equipped"
"Equip_Prop_Info","Character"
"Equip_Destiny_Info","Karma"
"Equip_Rarity_0","Crude"
"Equip_Rarity_1","Refined"
"Equip_Rarity_2","Legendary"
"Craft_Rarity_Desc","Crude {0}% Refined {1}% Legendary {2}%"
"Equip_On_Part_0","<JingTong_1>Headwear</>"
"Equip_On_Part_1","<JingTong_1>Topwear</>"
"Equip_On_Part_2","<JingTong_1>Bottomwear</>"
"Equip_On_Part_3","<JingTong_1>Backwear</>"
"Equip_On_Part_4","<JingTong_1>Hidden</>"
"Equip_On_No_Part","Rags"
"World_Equip_Part_0","Hat： {0}"
"World_Equip_Part_1","Wear： {0}"
"World_Equip_Part_2","Pants： {0}"
"World_Equip_Part_3","WPN： {0}"
"World_Equip_Part_4","CWPN： {0}"
"# 装备名称：","# 帽子"
"Equip_Name_60001","「Hairband」"
"Equip_Name_60002","「Hawk Hat」"
"Equip_Name_60003","「Green Silk Hat」"
"Equip_Name_60004","「Vine Hat」"
"Equip_Name_60005","「Orohat」"
"Equip_Name_60006","「Evil Hat」"
"Equip_Name_60007","「Crimson Hat」"
"Equip_Name_60008","「Hard Bamboo Hat」"
"Equip_Name_60009","「Green Cloud Hat」"
"Equip_Name_60010","「Treasure Hat」"
"Equip_Name_60011","「Star Hat」"
"Equip_Name_60100","「Flying Fish Hat」"
"Equip_Name_60200","「Chi Fan Raisuka」"
"Equip_Name_60900","「Harmony」"
"Equip_Name_60901","「Purple Chi From East」"
"Equip_Name_60902","「Wisdomness」"
"Equip_Name_60903","「Xuanwu」"
"Equip_Name_60904","「Divine Hat」"
"Equip_Name_60800","「Huanmos Diadem」"
"# 装备名称","# 暗器"
"Equip_Name_61001","「Green Coat」"
"Equip_Name_61002","「Hawk Gown」"
"Equip_Name_61003","「Green Silk Gown」"
"Equip_Name_61004","「Vine Gown」"
"Equip_Name_61005","「Orogown」"
"Equip_Name_61006","「Evil Gown」"
"Equip_Name_61007","「Crimson Coat」"
"Equip_Name_61008","「Traveler’s Gown」"
"Equip_Name_61009","「Black Armor」"
"Equip_Name_61010","「Green Cloud Gown」"
"Equip_Name_61011","「Treasure Coat」"
"Equip_Name_61012","「Inksnow Coat」"
"Equip_Name_61100","「Flying Fish Clothing」"
"Equip_Name_61200","「Crow Shadow Iron Scales」"
"Equip_Name_61900","「Soft Armor」"
"Equip_Name_61901","「Crimson Alligator」"
"Equip_Name_61902","「Soaring Cloud」"
"Equip_Name_61903","「Divine Silk Gown」"
"Equip_Name_61904","「Golden Archaea Spider」"
"Equip_Name_61800","「Huanmos Robes」"
"Equip_Name_62001","「Green Pants」"
"Equip_Name_62002","「Hawk Pants」"
"Equip_Name_62003","「Green Silk Pants」"
"Equip_Name_62004","「Vine Pants」"
"Equip_Name_62005","「Oropants」"
"Equip_Name_62006","「Evil Pants」"
"Equip_Name_62007","「Crimson Pants」"
"Equip_Name_62008","「Traveler’s Pants」"
"Equip_Name_62009","「Black Chausses」"
"Equip_Name_62010","「Green Cloud Pants」"
"Equip_Name_62011","「Treasure Pants」"
"Equip_Name_62012","「Cloudpacer Pants」"
"Equip_Name_62100","「Flying Fish Pants」"
"Equip_Name_62200","「Yingying Buyun」"
"Equip_Name_62900","「Walk In Divinity」"
"Equip_Name_62901","「Spiritual Cat」"
"Equip_Name_62902","「Lame Rakshasa」"
"Equip_Name_62903","「Samadhi」"
"Equip_Name_62800","「Huanmos Pants」"
"Equip_Name_63001","「Peach Wood Rod」"
"Equip_Name_63002","「Greatsword」"
"Equip_Name_63003","「Iron Saber」"
"Equip_Name_63004","「Mount Hua Sword」"
"Equip_Name_63005","「Evil Sword」"
"Equip_Name_63006","「Lunasword」"
"Equip_Name_63007","「Zephyr Sword」"
"Equip_Name_63008","「Brow Cane」"
"Equip_Name_63009","「Cast Iron Cane」"
"Equip_Name_63010","「Slaying Cane」"
"Equip_Name_63011","「Vine Staff」"
"Equip_Name_63012","「Emerald Staff」"
"Equip_Name_63013","「Jade Bamboo Staff」"
"Equip_Name_63014","「Bonebreaker Mace」"
"Equip_Name_63015","「Skullcrusher Mace」"
"Equip_Name_63016","「Wolfang Mace」"
"Equip_Name_63100","「Embroidery」"
"Equip_Name_63200","「Under the Moon， a Cold Awn Shines」"
"Equip_Name_63201","「Ten Steps， One Kill」"
"Equip_Name_63900","「Dragon Conqueror」"
"Equip_Name_63901","「Bagua Saber」"
"Equip_Name_63902","「Lihe Sword」"
"Equip_Name_63903","「Fire Slayer」"
"Equip_Name_63904","「Snow Slayer」"
"Equip_Name_63905","「Tai'e」"
"Equip_Name_63906","「Purple Bamboo」"
"Equip_Name_64001","「Peach Wood Dart」"
"Equip_Name_64002","「Coin Dart」"
"Equip_Name_64003","「Iron Dart」"
"Equip_Name_64004","「Iron Fork」"
"Equip_Name_64005","「Iron Arrow」"
"Equip_Name_64006","「Iron Thorn」"
"Equip_Name_64007","「Plum Bloom Needle」"
"Equip_Name_64100","「Ecstasy」"
"Equip_Name_64200","「Zi Mu Mandarin Duck Sting」"
"Equip_Name_64201","「Eighth grade lotus flower」"
"Equip_Name_64900","「Jade Sting」"
"Equip_Name_64901","「Cloudcracker」"
"Equip_Name_64902","「Thundercracker」"
"Equip_Name_64903","「Stormcracker」"
"Equip_Name_64904","「Arrow of Joy」"
"Equip_Name_64905","「Lotus of Sorrow」"
"Equip_Name_64906","「Willow Blade」"
"Equip_Name_64907","「Phantom Needle」"
"Equip_Name_64908","「Sorrow's Sting」"
"Equip_Name_64909","「Thunder Rage」"
"# 属性相关",""
"Prop_max_zhenqi","Max Chi"
"Prop_Desc_Minus"," -"
"Prop_Desc_Add"," +"
"Prop_Desc_100","Max Vigor"
"Prop_Desc_101","Max Load"
"Prop_Desc_102","Palm ATK"
"Prop_Desc_103","Fist ATK"
"Prop_Desc_104","Kick ATK"
"Prop_Desc_105","Weapon ATK"
"Prop_Desc_106","Concealed Weapon ATK"
"Prop_Desc_107","Move ATK"
"Prop_Desc_116","Move Crit"
"Prop_Desc_117","Move Break"
"Prop_Desc_118","Gear Basic Stats"
"Prop_Desc_120","Moves Per Turn"
"Prop_Desc_121","MSPD"
"Prop_Desc_123","Value of items begged"
"Prop_Desc_124","Pray Success Rate"
"Prop_Desc_125","Chi"
"Prop_Desc_126","Load"
"Prop_Desc_129","Max Health"
"Prop_Desc_130","Total Palm Moves"
"Prop_Desc_131","Total Fist Moves"
"Prop_Desc_132","Total Kick Moves"
"Prop_Desc_133","Total Weapon Moves"
"Prop_Desc_134","Total Concealed Weapon Moves"
"Prop_Desc_135","All Moves"
"Prop_Desc_136","Chi of the Moon Level"
"Prop_Desc_137","Chi of the Sun Level"
"Prop_Desc_138","Chi of Venom Level"
"Prop_Desc_139","Chi of Harmony Level"
"Prop_Desc_140","Meridian Size"
"Prop_Desc_222","Range Sensed"
"Prop_Desc_224","Forging produces additional items"
"Prop_Desc_225","Pharmaceuticals produce additional items"
"Prop_Desc_226","Weaving produces additional items"
"Prop_Desc_227","Create and produce additional items"
"Prop_Desc_228","Cooking yields additional items"
"Prop_Desc_230","Max Spirits"
"Prop_Desc_300","Unable to beg for mercy"
"Prop_Desc_301","Crit DMG taken"
"Prop_Desc_302","Extra DMG dealt by Move Crit"
"Prop_Desc_303","DMG taken"
"Prop_Desc_304","The higher the opponent’s 「<EqptKeyStyle>Heat</>」 stacks， the higher the Move Crit."
"Prop_Desc_308","Luck"
"Prop_Desc_309","DMG dealt to Huanmos"
"Prop_Desc_310","DMG dealt to the opponent with less Coins"
"Prop_Desc_311","DMG dealt to the opponent with more Coins"
"Prop_Desc_312","Healing effect taken"
"Prop_Desc_314","Faint Duration"
"Prop_Desc_315","Palm DMG taken"
"Prop_Desc_316","Fist DMG taken"
"Prop_Desc_317","Kick DMG taken"
"Prop_Desc_318","Weapon DMG taken"
"Prop_Desc_319","Concealed Weapon DMG taken"
"Prop_Desc_325","Immune to 「<EqptKeyStyle>Poison Gas</>」"
"Prop_Desc_326","Immune to 「<EqptKeyStyle>Heat</>」"
"Prop_Desc_327","Immune to 「<EqptKeyStyle>Cold</>」"
"Prop_Desc_328","Immune to 「<EqptKeyStyle>Drunk</>」"
"Prop_Desc_329","Immune to 「<EqptKeyStyle>Wounded</>」"
"Prop_Desc_330","Immune to 「<EqptKeyStyle>Acupoint Block</>」"
"Prop_Desc_331","DMG dealt by Skills"
"Prop_Desc_333","「<EqptKeyStyle>Heat</>」 DMG taken"
"Prop_Desc_334","「<EqptKeyStyle>Cold</>」 DMG taken"
"Prop_Desc_335","Counter Strike"
"Prop_Desc_336","Inflicts Blind when casting Skill"
"Prop_Desc_337","Acquire SPD"
"Prop_Desc_338","Kungfu Insight Gain"
"Prop_Desc_339","Trap DMG taken"
"Prop_Desc_340","Material Consumed"
"Prop_Desc_341","When using Medicine， Healing"
"Prop_Desc_342","DMG dealt by Palm Moves"
"Prop_Desc_344","DMG dealt by Fist Moves"
"Prop_Desc_346","DMG dealt by Kick Moves"
"Prop_Desc_348","DMG dealt by Weapon Move"
"Prop_Desc_350","DMG dealt by Concealed Weapon Moves"
"Prop_Desc_352","DMG dealt by Palm Skills"
"Prop_Desc_354","DMG dealt by Fist Skills"
"Prop_Desc_356","DMG dealt by Kick Skills"
"Prop_Desc_358","DMG dealt by Weapon Skills"
"Prop_Desc_360","DMG dealt by Concealed Weapon Skills"
"Prop_Desc_362","Good at Palm"
"Prop_Desc_363","Good at Fist"
"Prop_Desc_364","Good at Kick"
"Prop_Desc_365","Good at Weapons"
"Prop_Desc_366","Good at Concealed Weapons"
"Prop_Desc_367","Palm Moves required to activate the Skill"
"Prop_Desc_368","Fist Moves required to activate the Skill"
"Prop_Desc_369","Kick Moves required to activate the Skill"
"Prop_Desc_370","Weapon Moves required to activate the Skill"
"Prop_Desc_371","Concealed Weapon Moves required to activate the Skill"
"Prop_Desc_372","Gear’s Sale Price"
"Prop_Desc_373","Avoid a Defeat"
"Prop_Desc_374","All Prices"
"Prop_Desc_375","<EqptNumStyle>30%</> chance of stealing money with Concealed Weapon Moves"
"Prop_Desc_376","Material Acquisition Efficiency"
"Prop_Desc_377","Number of Resists against Move Counters in fights"
"Prop_Desc_378","Get Broken"
"Prop_Desc_379","Palm Moves count as Weapon Moves."
"Prop_Desc_380","Bravery"
"Prop_Desc_381","Fist Moves count as Weapon Moves."
"Prop_Desc_382","Inflicts 「Disabled： Leg」 when casting Skill"
